species,palmitic acid,stearic acid ,Oleic Acid ,Linoleic acid ,alpha-linoleic acid ,arachidic acid ,EPA ,DHA,gamma-linoleic acid,stearidonic acid,nervonic acid
Lecythidaceae,15.035,10.865,32.03,41.23,0.31,0.035,nm,nm,nm,nm,nm
Theaceae,5.6,0.633333333,2.573333333,4.328333333,11.07166667,nm,nm,nm,nm,nm,nm
Ebenaceae,11.82,3.22,7.74,8.04,0.63,0.63,nm,4.65,nm,nm,nm
Sapotaceae,35.2,19.75,nm,nm,nm,0.2,nm,nm,nm,nm,nm
Primulaceae,14.72,3.02,36.49,nm,0.5,0.55,0.43,nm,nm,nm,nm
Ericaceae,25.91846154,6.686923077,13.902,8.472,21.21833333,3.109230769,0.222222222,nm,0.68,nm,nm
Adoxaceae,15.22,1.88,28.31,31.45,23.04,nm,nm,nm,nm,nm,nm
Caprifoliaceae,28.455,2.95,nm,nm,nm,2.5,nm,nm,nm,nm,nm
Araliaceae,38.82,14.14,nm,nm,nm,nm,nm,nm,nm,nm,nm
Apiaceae,10.31680556,2.220634921,14.60087719,24.20464286,6.49902439,0.704727273,0,0.07,0.028571429,nm,0.0125
Asteraceae,13.74202247,3.581123596,8.5528,34.15588235,13.58712,1.858738095,0.03525,0.01875,0.132142857,nm,0
Rubiaceae,40.4,8.2,6.22,37,nm,nm,nm,nm,nm,nm,nm
Apocynaceae,5.485,2.715,31.38,nm,0.885,0.565,nm,nm,nm,nm,nm
Convolvulaceae,24.93333333,7.2,36,28,1.4,3.866666667,nm,nm,nm,nm,nm
Solanaceae,15.92315714,3.480957143,13.66252,40.02477778,14.945,0.388955263,nm,nm,0.053333333,nm,nm
Boraginaceae,9.837457627,3.612372881,18.45810345,26.10275229,17.4175,0.336509434,0,0,10.46023882,4.839305217,0.417892958
Oleaceae,11.245,3.22,72.89,nm,0.32,0.4,nm,nm,nm,nm,nm
Plantaginaceae,18.65,2.7,nm,nm,nm,nm,nm,nm,nm,nm,nm
Scrophulariaceae,31.66,3.57,6,nm,nm,0.29,nm,nm,nm,nm,nm
